2021-12-10 09:50:50.588305	https://www.encodeproject.org/report/?type=Experiment&control_type%21=%2A&status=released&perturbed=false&assay_slims=DNA+accessibility&assay_title=DNase-seq&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&files.platform.term_name=Illumina+HiSeq+4000&files.run_type=paired-ended&replicates.library.nucleic_acid_term_name=DNA&limit=all
ID	Accession	Assay name	Assay title	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR098ISE/	ENCSR098ISE	DNase-seq	DNase-seq				Homo sapiens with Alzheimer's disease; posterior cingulate gyrus tissue female adult (90 or above years)	posterior cingulate gyrus	GEO:GSE170249		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF032DAF/,/files/ENCFF851RAL/,/files/ENCFF564BTU/,/files/ENCFF650ROF/,/files/ENCFF461FVJ/,/files/ENCFF342JRS/,/files/ENCFF115NXN/,/files/ENCFF638IEM/,/files/ENCFF290JSZ/,/files/ENCFF189BYI/,/files/ENCFF219ACT/,/files/ENCFF255UTG/,/files/ENCFF659QPY/,/files/ENCFF080KMG/,/files/ENCFF620GHG/,/files/ENCFF859RCJ/,/files/ENCFF324TXS/,/files/ENCFF454AVH/	/disease-series/ENCSR035KYD/	ENCBS630BXI	1	1		Homo sapiens	adult	90 or above years												/replicates/3dc3fbd4-5d79-4df8-a0de-3c73af885677/				
/experiments/ENCSR789FJF/	ENCSR789FJF	DNase-seq	DNase-seq				Homo sapiens posterior cingulate gyrus tissue female adult (87 years)	posterior cingulate gyrus	GEO:GSE170104		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF530YUT/,/files/ENCFF459ZAU/,/files/ENCFF966KTR/,/files/ENCFF676MHP/,/files/ENCFF132PVR/,/files/ENCFF344QQB/,/files/ENCFF582OCE/,/files/ENCFF147BSH/,/files/ENCFF280SAO/,/files/ENCFF238FDV/,/files/ENCFF640AIA/,/files/ENCFF780ACQ/,/files/ENCFF946GSF/,/files/ENCFF236GFR/,/files/ENCFF143GBL/,/files/ENCFF819WUS/	/disease-series/ENCSR220JNZ/	ENCBS952APP	1	1		Homo sapiens	adult	87 years												/replicates/05a9bfc2-a691-42c8-ab60-fc88986061c0/				
/experiments/ENCSR571CJM/	ENCSR571CJM	DNase-seq	DNase-seq				Homo sapiens middle frontal area 46 tissue female adult (87 years)	middle frontal area 46	GEO:GSE170760		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF559WLE/,/files/ENCFF516EMR/,/files/ENCFF652XGA/,/files/ENCFF773YIE/,/files/ENCFF079GMX/,/files/ENCFF004UHO/,/files/ENCFF329LIG/,/files/ENCFF435VGT/,/files/ENCFF902LXF/,/files/ENCFF122OLO/,/files/ENCFF123FIE/,/files/ENCFF288FOT/,/files/ENCFF425COQ/,/files/ENCFF874WYJ/,/files/ENCFF915SNP/,/files/ENCFF862EXZ/	/disease-series/ENCSR213OJC/	ENCBS525QOI	1	1		Homo sapiens	adult	87 years												/replicates/9735b96a-1aac-46b3-a2d5-d36e333022c1/				
/experiments/ENCSR617SVO/	ENCSR617SVO	DNase-seq	DNase-seq				Homo sapiens with mild cognitive impairment; middle frontal area 46 tissue female adult (90 or above years)	middle frontal area 46	GEO:GSE170890		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF977UQB/,/files/ENCFF950WFD/,/files/ENCFF422DDN/,/files/ENCFF027HPX/,/files/ENCFF913END/,/files/ENCFF842SOP/,/files/ENCFF939BRL/,/files/ENCFF713UYD/,/files/ENCFF238QRU/,/files/ENCFF420QDU/,/files/ENCFF068GXP/,/files/ENCFF066YOO/,/files/ENCFF358ZOO/,/files/ENCFF293NTN/,/files/ENCFF040QIJ/,/files/ENCFF235UVY/	/disease-series/ENCSR240SWE/	ENCBS802DIQ	1	1		Homo sapiens	adult	90 or above years												/replicates/140ba8a4-25f2-4c4c-b318-6dacbdbbe4e2/				
/experiments/ENCSR928PKL/	ENCSR928PKL	DNase-seq	DNase-seq				Homo sapiens with Cognitive impairment; middle frontal area 46 tissue female adult (81 years)	middle frontal area 46	GEO:GSE170667		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF053BKY/,/files/ENCFF670NJH/,/files/ENCFF445VVG/,/files/ENCFF463YFL/,/files/ENCFF987RXP/,/files/ENCFF479FLN/,/files/ENCFF789TUJ/,/files/ENCFF069XDC/,/files/ENCFF407BWB/,/files/ENCFF468MIX/,/files/ENCFF928ZDZ/,/files/ENCFF803KTY/,/files/ENCFF262ITI/,/files/ENCFF540ABN/,/files/ENCFF048EHQ/,/files/ENCFF515PBT/	/disease-series/ENCSR059IQI/	ENCBS884QJN	1	1		Homo sapiens	adult	81 years												/replicates/f2d9b676-f3b7-4a19-91c9-922452fd94d9/				
/experiments/ENCSR503UFM/	ENCSR503UFM	DNase-seq	DNase-seq				Homo sapiens posterior cingulate gyrus tissue female adult (77 years)	posterior cingulate gyrus	GEO:GSE170358		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF718NSX/,/files/ENCFF822WSQ/,/files/ENCFF740BHN/,/files/ENCFF788GON/,/files/ENCFF727ALC/,/files/ENCFF504FBE/,/files/ENCFF073CSL/,/files/ENCFF782MRO/,/files/ENCFF068WQO/,/files/ENCFF187WPT/,/files/ENCFF901SBR/,/files/ENCFF216EJI/,/files/ENCFF456XMH/,/files/ENCFF795XUR/,/files/ENCFF223HZW/,/files/ENCFF574ASO/,/files/ENCFF586PFT/,/files/ENCFF782XPH/	/experiment-series/ENCSR417AMC/,/disease-series/ENCSR413AKW/	ENCBS222SFZ	1	1		Homo sapiens	adult	77 years												/replicates/2e1d3e39-b6e4-4023-a7f7-c1e269e59a85/				
/experiments/ENCSR577QZP/	ENCSR577QZP	DNase-seq	DNase-seq				Homo sapiens with Alzheimer's disease; posterior cingulate gyrus tissue female adult (90 or above years)	posterior cingulate gyrus	GEO:GSE170780		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF499QRX/,/files/ENCFF482PEG/,/files/ENCFF542WVP/,/files/ENCFF473DRQ/,/files/ENCFF700YDN/,/files/ENCFF156XPZ/,/files/ENCFF775TDT/,/files/ENCFF765IHL/,/files/ENCFF962UHS/,/files/ENCFF284OBV/,/files/ENCFF660BNC/,/files/ENCFF032RAK/,/files/ENCFF218LAZ/,/files/ENCFF469JRP/,/files/ENCFF938DIU/,/files/ENCFF020ROP/,/files/ENCFF761EYJ/,/files/ENCFF189OSV/	/disease-series/ENCSR736EMM/	ENCBS029YJS	1	1		Homo sapiens	adult	90 or above years												/replicates/836bec0f-6aa6-4033-b81e-3ed84076d204/				
/experiments/ENCSR419KXU/	ENCSR419KXU	DNase-seq	DNase-seq				Homo sapiens with Alzheimer's disease; middle frontal area 46 tissue female adult (90 or above years)	middle frontal area 46	GEO:GSE169894		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF935ZKA/,/files/ENCFF356USU/,/files/ENCFF908IDX/,/files/ENCFF579FUJ/,/files/ENCFF295GYU/,/files/ENCFF789JHK/,/files/ENCFF425DFT/,/files/ENCFF079DVR/,/files/ENCFF418AJG/,/files/ENCFF042TOL/,/files/ENCFF675NNX/,/files/ENCFF261PGG/,/files/ENCFF872EOP/,/files/ENCFF950BGU/,/files/ENCFF187VXO/,/files/ENCFF082SSF/,/files/ENCFF366SGZ/,/files/ENCFF631LZV/	/disease-series/ENCSR506ILI/	ENCBS917DCE	1	1		Homo sapiens	adult	90 or above years												/replicates/4bafe8be-4dd9-44dd-a3b2-e421ca82284e/				
/experiments/ENCSR176BPJ/	ENCSR176BPJ	DNase-seq	DNase-seq				Homo sapiens with mild cognitive impairment; head of caudate nucleus tissue female adult (90 or above years)	head of caudate nucleus	GEO:GSE170623		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF588WEJ/,/files/ENCFF320DNB/,/files/ENCFF343MVP/,/files/ENCFF339ZPG/,/files/ENCFF763NLU/,/files/ENCFF534NJY/,/files/ENCFF714IOS/,/files/ENCFF325AFD/,/files/ENCFF633LYV/,/files/ENCFF803KNZ/,/files/ENCFF977TLL/,/files/ENCFF760BOO/,/files/ENCFF848YJF/,/files/ENCFF476GGP/,/files/ENCFF378UDR/,/files/ENCFF456GXS/	/disease-series/ENCSR240SWE/	ENCBS658LOK	1	1		Homo sapiens	adult	90 or above years												/replicates/7ab1ebfa-d1e7-4851-90d5-d06b06d9bfc0/				
/experiments/ENCSR085XKS/	ENCSR085XKS	DNase-seq	DNase-seq				Homo sapiens with Cognitive impairment, Alzheimer's disease; head of caudate nucleus tissue male adult (80 years)	head of caudate nucleus	GEO:GSE170185		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF851VIK/,/files/ENCFF379NNR/,/files/ENCFF944BCU/,/files/ENCFF927WJY/,/files/ENCFF209YJR/,/files/ENCFF462MLS/,/files/ENCFF427TKQ/,/files/ENCFF130BVZ/,/files/ENCFF226FYG/,/files/ENCFF648TRC/,/files/ENCFF992JNM/,/files/ENCFF002QMF/,/files/ENCFF785PRK/,/files/ENCFF236VPW/,/files/ENCFF516BUH/,/files/ENCFF642LWQ/	/disease-series/ENCSR199JXX/	ENCBS015WFT	1	1		Homo sapiens	adult	80 years												/replicates/9bd7d85f-1960-4a8a-880a-b579e8992e64/				
